,PM2_5,PM10,SO2,NO2,CO,O3,AQI
0,101.0,108.0,44.0,32.0,1.0,90.0,132.0
1,101.0,109.0,45.0,34.0,1.1,87.0,132.0
2,99.0,107.0,41.0,32.0,1.1,86.0,130.0
3,102.0,110.0,42.0,32.0,1.1,83.0,134.0
4,106.0,114.0,44.0,34.0,1.2,80.0,138.0
5,106.0,114.0,45.0,37.0,1.4,77.0,139.0
6,107.0,115.0,49.0,40.0,1.5,72.0,140.0
7,106.0,114.0,53.0,42.0,1.7,71.0,139.0
8,114.0,125.0,60.0,46.0,1.8,61.0,149.0
9,113.0,128.0,62.0,38.0,1.3,74.0,148.0
10,104.0,117.0,61.0,34.0,1.1,83.0,137.0
11,87.0,98.0,49.0,25.0,0.9,104.0,115.0
12,82.0,90.0,40.0,20.0,0.8,116.0,108.0
13,77.0,84.0,33.0,15.0,0.7,126.0,103.0
14,66.0,73.0,22.0,10.0,0.6,139.0,89.0
15,64.0,70.0,21.0,10.0,0.6,139.0,87.0
16,65.0,71.0,21.0,11.0,0.6,138.0,87.0
17,65.0,72.0,20.0,14.0,0.6,134.0,88.0
18,75.0,83.0,24.0,19.0,0.7,124.0,100.0
19,81.0,89.0,26.0,23.0,0.8,113.0,107.0
20,108.0,118.0,49.0,41.0,1.1,83.0,141.0
21,109.0,120.0,50.0,43.0,1.1,76.0,142.0
22,116.0,128.0,51.0,45.0,1.2,72.0,152.0
23,122.0,133.0,47.0,45.0,1.3,72.0,160.0
24,117.0,126.0,43.0,37.0,1.2,81.0,153.0
25,116.0,125.0,43.0,38.0,1.2,73.0,152.0
26,109.0,116.0,43.0,36.0,1.1,61.0,142.0
27,107.0,114.0,47.0,36.0,1.1,56.0,140.0
28,102.0,109.0,51.0,38.0,1.1,50.0,134.0
29,57.0,61.0,34.0,33.0,0.7,48.0,78.0
30,34.0,37.0,26.0,30.0,0.6,49.0,48.0
31,24.0,28.0,24.0,27.0,0.6,52.0,34.0
32,22.0,26.0,21.0,22.0,0.5,60.0,31.0
33,20.0,24.0,20.0,18.0,0.4,65.0,28.0
34,19.0,23.0,20.0,17.0,0.3,69.0,27.0
35,17.0,21.0,17.0,12.0,0.3,79.0,25.0
36,16.0,19.0,16.0,11.0,0.3,82.0,26.0
37,15.0,19.0,14.0,11.0,0.3,85.0,27.0
38,15.0,18.0,13.0,9.0,0.3,91.0,28.0
39,14.0,17.0,12.0,9.0,0.3,93.0,29.0
40,15.0,18.0,12.0,11.0,0.3,93.0,29.0
41,18.0,22.0,17.0,15.0,0.3,88.0,27.0
42,20.0,24.0,17.0,18.0,0.4,83.0,29.0
43,23.0,27.0,18.0,19.0,0.4,77.0,33.0
44,27.0,31.0,20.0,22.0,0.5,69.0,38.0
45,27.0,30.0,16.0,20.0,0.5,67.0,38.0
46,29.0,32.0,18.0,22.0,0.5,62.0,42.0
47,27.0,30.0,18.0,23.0,0.6,61.0,39.0
48,26.0,29.0,19.0,25.0,0.6,57.0,37.0
49,26.0,28.0,20.0,28.0,0.7,52.0,37.0
50,26.0,30.0,23.0,33.0,0.8,45.0,38.0
51,28.0,32.0,25.0,38.0,1.0,39.0,40.0
52,29.0,33.0,27.0,41.0,1.1,36.0,41.0
53,31.0,37.0,30.0,43.0,1.3,34.0,45.0
54,35.0,41.0,34.0,43.0,1.5,35.0,50.0
55,37.0,45.0,37.0,41.0,1.6,39.0,53.0
56,40.0,50.0,41.0,34.0,1.7,47.0,57.0
57,40.0,50.0,36.0,31.0,1.1,59.0,56.0
58,32.0,40.0,28.0,25.0,0.7,72.0,46.0
59,28.0,34.0,23.0,21.0,0.5,82.0,39.0
60,25.0,31.0,21.0,19.0,0.4,88.0,35.0
61,24.0,30.0,21.0,18.0,0.4,92.0,34.0
62,23.0,30.0,22.0,19.0,0.3,94.0,34.0
63,23.0,30.0,25.0,20.0,0.3,95.0,34.0
64,25.0,33.0,29.0,22.0,0.3,93.0,36.0
65,28.0,36.0,33.0,26.0,0.4,88.0,40.0
66,33.0,43.0,36.0,34.0,0.5,77.0,47.0
67,42.0,54.0,45.0,43.0,0.6,62.0,59.0
68,48.0,56.0,50.0,47.0,0.6,54.0,66.0
69,48.0,57.0,18.0,27.0,1.0,88.0,67.0
70,53.0,62.0,18.0,28.0,1.0,77.0,73.0
71,56.0,63.0,18.0,30.0,1.0,68.0,76.0
72,58.0,64.0,20.0,35.0,1.1,58.0,78.0
73,59.0,64.0,24.0,40.0,1.3,50.0,79.0
74,59.0,64.0,26.0,41.0,1.3,46.0,80.0
75,59.0,64.0,27.0,42.0,1.4,45.0,80.0
76,60.0,64.0,30.0,38.0,1.6,48.0,81.0
77,60.0,64.0,32.0,32.0,1.7,52.0,82.0
78,61.0,65.0,32.0,27.0,1.8,55.0,83.0
79,63.0,67.0,33.0,26.0,1.9,59.0,85.0
80,69.0,75.0,31.0,25.0,1.8,66.0,92.0
81,65.0,70.0,20.0,17.0,1.0,84.0,87.0
82,51.0,55.0,14.0,13.0,0.7,105.0,70.0
83,42.0,46.0,11.0,11.0,0.5,122.0,59.0
84,38.0,42.0,9.0,10.0,0.4,133.0,54.0
85,35.0,39.0,8.0,9.0,0.4,140.0,50.0
86,33.0,37.0,7.0,10.0,0.4,141.0,47.0
87,32.0,37.0,7.0,11.0,0.4,138.0,46.0
88,35.0,40.0,8.0,13.0,0.4,132.0,49.0
89,42.0,48.0,10.0,17.0,0.6,123.0,58.0
90,52.0,61.0,13.0,22.0,0.7,112.0,72.0
91,65.0,75.0,16.0,25.0,0.9,102.0,88.0
92,76.0,87.0,18.0,28.0,1.0,92.0,102.0
93,84.0,94.0,19.0,30.0,1.0,83.0,111.0
94,88.0,97.0,20.0,32.0,1.1,77.0,117.0
95,90.0,97.0,21.0,34.0,1.1,73.0,118.0
96,87.0,92.0,22.0,35.0,1.2,71.0,115.0
97,82.0,86.0,21.0,35.0,1.2,70.0,108.0
98,77.0,80.0,21.0,35.0,1.3,68.0,102.0
