,PM2_5,PM10,SO2,NO2,CO,O3,AQI
0,98.0,104.0,43.0,32.0,1.1,95.0,129.0
1,98.0,106.0,44.0,34.0,1.1,92.0,129.0
2,98.0,105.0,41.0,33.0,1.2,88.0,129.0
3,102.0,109.0,42.0,35.0,1.2,84.0,134.0
4,106.0,114.0,46.0,39.0,1.4,79.0,139.0
5,107.0,114.0,49.0,44.0,1.6,73.0,140.0
6,108.0,115.0,53.0,50.0,1.8,66.0,141.0
7,106.0,113.0,57.0,52.0,2.0,65.0,139.0
8,112.0,122.0,63.0,56.0,2.2,58.0,146.0
9,111.0,124.0,60.0,43.0,1.5,75.0,145.0
10,102.0,114.0,59.0,37.0,1.2,85.0,134.0
11,87.0,98.0,50.0,27.0,0.9,104.0,115.0
12,83.0,92.0,42.0,22.0,0.8,115.0,111.0
13,81.0,89.0,36.0,18.0,0.7,123.0,108.0
14,67.0,74.0,23.0,11.0,0.6,138.0,90.0
15,67.0,73.0,22.0,11.0,0.6,138.0,90.0
16,69.0,75.0,22.0,12.0,0.6,137.0,92.0
17,71.0,78.0,22.0,15.0,0.6,134.0,95.0
18,77.0,84.0,24.0,19.0,0.7,125.0,102.0
19,80.0,88.0,25.0,23.0,0.8,113.0,106.0
20,110.0,120.0,47.0,41.0,1.1,83.0,143.0
21,111.0,122.0,48.0,43.0,1.2,75.0,145.0
22,119.0,130.0,49.0,45.0,1.2,75.0,156.0
23,120.0,129.0,43.0,42.0,1.2,79.0,157.0
24,115.0,123.0,42.0,35.0,1.2,86.0,150.0
25,114.0,123.0,43.0,37.0,1.2,76.0,149.0
26,108.0,115.0,43.0,37.0,1.1,63.0,141.0
27,106.0,113.0,49.0,37.0,1.1,57.0,139.0
28,98.0,105.0,51.0,39.0,1.1,51.0,129.0
29,47.0,50.0,33.0,32.0,0.7,49.0,65.0
30,27.0,30.0,26.0,29.0,0.6,52.0,38.0
31,21.0,24.0,24.0,27.0,0.6,55.0,30.0
32,19.0,23.0,20.0,21.0,0.5,62.0,27.0
33,19.0,23.0,20.0,18.0,0.4,66.0,27.0
34,18.0,22.0,20.0,17.0,0.3,70.0,26.0
35,17.0,21.0,17.0,12.0,0.3,80.0,25.0
36,16.0,20.0,16.0,12.0,0.3,82.0,26.0
37,16.0,19.0,15.0,11.0,0.3,85.0,26.0
38,16.0,19.0,15.0,11.0,0.3,88.0,28.0
39,16.0,19.0,14.0,12.0,0.3,90.0,28.0
40,17.0,20.0,15.0,13.0,0.3,89.0,28.0
41,20.0,23.0,17.0,17.0,0.3,85.0,28.0
42,21.0,25.0,18.0,19.0,0.4,80.0,30.0
43,23.0,27.0,18.0,19.0,0.5,76.0,33.0
44,26.0,31.0,20.0,23.0,0.5,69.0,38.0
45,26.0,29.0,16.0,20.0,0.5,68.0,37.0
46,28.0,31.0,18.0,22.0,0.6,63.0,40.0
47,26.0,28.0,17.0,22.0,0.6,63.0,37.0
48,25.0,27.0,18.0,25.0,0.6,59.0,36.0
49,25.0,27.0,21.0,29.0,0.7,53.0,35.0
50,26.0,29.0,24.0,34.0,0.9,46.0,37.0
51,26.0,30.0,26.0,39.0,1.0,41.0,38.0
52,27.0,30.0,28.0,43.0,1.2,38.0,38.0
53,28.0,32.0,31.0,45.0,1.5,37.0,40.0
54,31.0,36.0,35.0,46.0,1.7,38.0,44.0
55,33.0,39.0,40.0,45.0,1.9,41.0,47.0
56,36.0,44.0,44.0,40.0,2.0,49.0,51.0
57,39.0,48.0,35.0,32.0,1.3,61.0,55.0
58,31.0,38.0,25.0,25.0,0.7,75.0,44.0
59,26.0,32.0,21.0,20.0,0.5,84.0,38.0
60,24.0,29.0,18.0,18.0,0.4,90.0,34.0
61,23.0,28.0,18.0,18.0,0.4,93.0,33.0
62,23.0,29.0,19.0,19.0,0.4,95.0,33.0
63,23.0,29.0,21.0,20.0,0.4,96.0,33.0
64,25.0,31.0,25.0,22.0,0.4,94.0,35.0
65,27.0,35.0,29.0,26.0,0.4,89.0,39.0
66,34.0,43.0,34.0,36.0,0.6,76.0,48.0
67,41.0,53.0,40.0,43.0,0.7,63.0,58.0
68,45.0,54.0,47.0,48.0,0.7,53.0,63.0
69,42.0,50.0,21.0,36.0,1.3,86.0,59.0
70,43.0,50.0,20.0,35.0,1.3,80.0,60.0
71,44.0,50.0,20.0,36.0,1.3,71.0,61.0
72,47.0,53.0,21.0,41.0,1.3,59.0,65.0
73,51.0,56.0,25.0,49.0,1.5,45.0,70.0
74,53.0,58.0,28.0,52.0,1.6,39.0,73.0
75,54.0,58.0,32.0,53.0,1.7,39.0,73.0
76,54.0,58.0,35.0,47.0,2.0,45.0,73.0
77,54.0,58.0,38.0,39.0,2.1,50.0,74.0
78,55.0,59.0,39.0,32.0,2.2,52.0,75.0
79,57.0,61.0,39.0,29.0,2.3,54.0,78.0
80,65.0,71.0,37.0,28.0,2.2,61.0,87.0
81,63.0,69.0,20.0,17.0,1.1,76.0,85.0
82,51.0,56.0,14.0,13.0,0.7,94.0,70.0
83,43.0,47.0,11.0,11.0,0.6,111.0,60.0
84,39.0,43.0,10.0,11.0,0.5,124.0,55.0
