,PM2_5,PM10,SO2,NO2,CO,O3,AQI
0,100.0,107.0,44.0,33.0,1.1,91.0,131.0
1,100.0,108.0,45.0,34.0,1.1,88.0,131.0
2,99.0,107.0,41.0,33.0,1.1,85.0,130.0
3,102.0,110.0,42.0,34.0,1.2,83.0,134.0
4,106.0,114.0,44.0,36.0,1.3,78.0,139.0
5,107.0,114.0,46.0,40.0,1.4,74.0,140.0
6,108.0,115.0,50.0,44.0,1.6,68.0,141.0
7,106.0,114.0,53.0,46.0,1.8,68.0,139.0
8,114.0,125.0,61.0,50.0,1.9,59.0,149.0
9,113.0,128.0,62.0,41.0,1.4,73.0,148.0
10,104.0,117.0,61.0,36.0,1.1,82.0,137.0
11,87.0,98.0,49.0,26.0,0.9,104.0,115.0
12,83.0,91.0,41.0,21.0,0.8,115.0,109.0
13,78.0,86.0,34.0,16.0,0.7,125.0,104.0
14,66.0,73.0,22.0,10.0,0.6,138.0,89.0
15,65.0,71.0,21.0,10.0,0.6,139.0,87.0
16,66.0,72.0,21.0,11.0,0.6,137.0,88.0
17,67.0,74.0,21.0,14.0,0.6,133.0,90.0
18,76.0,83.0,24.0,19.0,0.7,125.0,101.0
19,80.0,89.0,26.0,23.0,0.8,113.0,106.0
20,109.0,119.0,48.0,41.0,1.1,83.0,142.0
21,110.0,121.0,49.0,43.0,1.1,75.0,143.0
22,117.0,129.0,50.0,46.0,1.2,73.0,153.0
23,121.0,131.0,45.0,45.0,1.3,73.0,159.0
24,116.0,125.0,43.0,37.0,1.2,82.0,152.0
25,116.0,125.0,43.0,39.0,1.2,74.0,151.0
26,108.0,116.0,43.0,36.0,1.1,61.0,142.0
27,106.0,114.0,48.0,37.0,1.1,56.0,139.0
28,101.0,107.0,51.0,39.0,1.1,50.0,132.0
29,55.0,58.0,34.0,33.0,0.7,48.0,74.0
30,32.0,35.0,26.0,30.0,0.6,50.0,45.0
31,23.0,26.0,24.0,27.0,0.6,53.0,33.0
32,21.0,25.0,21.0,22.0,0.5,60.0,30.0
33,20.0,24.0,20.0,18.0,0.4,65.0,28.0
34,19.0,23.0,20.0,17.0,0.3,69.0,26.0
35,17.0,21.0,17.0,12.0,0.3,79.0,25.0
36,16.0,19.0,16.0,11.0,0.3,82.0,26.0
37,16.0,19.0,14.0,11.0,0.3,85.0,27.0
38,15.0,18.0,13.0,10.0,0.3,90.0,28.0
39,15.0,18.0,12.0,10.0,0.3,92.0,29.0
40,16.0,19.0,13.0,11.0,0.3,92.0,29.0
41,19.0,22.0,17.0,16.0,0.3,87.0,27.0
42,20.0,24.0,17.0,18.0,0.4,82.0,29.0
43,23.0,27.0,18.0,19.0,0.4,76.0,33.0
44,27.0,31.0,20.0,22.0,0.5,69.0,38.0
45,27.0,30.0,16.0,20.0,0.5,67.0,38.0
46,29.0,32.0,18.0,23.0,0.5,62.0,41.0
47,27.0,30.0,18.0,23.0,0.6,61.0,38.0
48,26.0,29.0,19.0,26.0,0.6,57.0,37.0
49,26.0,28.0,20.0,29.0,0.7,52.0,37.0
50,26.0,30.0,24.0,35.0,0.9,44.0,38.0
51,28.0,31.0,26.0,39.0,1.0,39.0,40.0
52,29.0,33.0,28.0,43.0,1.2,35.0,41.0
53,31.0,36.0,31.0,45.0,1.4,34.0,44.0
54,34.0,40.0,35.0,45.0,1.6,35.0,48.0
55,36.0,43.0,38.0,44.0,1.8,38.0,51.0
56,39.0,48.0,42.0,37.0,1.9,47.0,55.0
57,40.0,50.0,36.0,32.0,1.2,59.0,56.0
58,32.0,40.0,28.0,26.0,0.7,72.0,46.0
59,27.0,34.0,23.0,21.0,0.6,82.0,39.0
60,24.0,30.0,20.0,19.0,0.4,88.0,35.0
61,24.0,29.0,20.0,18.0,0.4,92.0,34.0
62,23.0,29.0,21.0,19.0,0.4,94.0,33.0
63,23.0,30.0,23.0,20.0,0.3,95.0,33.0
64,25.0,32.0,27.0,23.0,0.4,93.0,36.0
65,28.0,36.0,32.0,26.0,0.4,88.0,40.0
66,33.0,43.0,36.0,36.0,0.5,76.0,48.0
67,42.0,54.0,44.0,44.0,0.6,62.0,59.0
68,48.0,56.0,50.0,48.0,0.7,53.0,66.0
69,47.0,56.0,19.0,31.0,1.1,87.0,65.0
70,50.0,59.0,19.0,31.0,1.2,77.0,69.0
71,52.0,60.0,19.0,33.0,1.1,68.0,71.0
72,55.0,61.0,21.0,38.0,1.2,57.0,74.0
73,57.0,62.0,25.0,44.0,1.4,47.0,77.0
74,58.0,63.0,27.0,46.0,1.5,42.0,79.0
75,58.0,63.0,29.0,47.0,1.6,41.0,79.0
76,59.0,63.0,32.0,42.0,1.8,46.0,79.0
77,59.0,63.0,34.0,35.0,1.9,51.0,80.0
78,60.0,64.0,35.0,30.0,2.0,53.0,81.0
79,62.0,66.0,36.0,28.0,2.1,57.0,84.0
80,68.0,75.0,33.0,27.0,2.0,64.0,92.0
81,66.0,71.0,21.0,18.0,1.1,80.0,88.0
82,52.0,57.0,14.0,13.0,0.7,100.0,72.0
83,43.0,47.0,11.0,11.0,0.5,117.0,60.0
84,39.0,43.0,10.0,10.0,0.5,129.0,55.0
85,36.0,40.0,8.0,10.0,0.4,137.0,51.0
86,34.0,38.0,8.0,11.0,0.4,139.0,48.0
87,33.0,38.0,8.0,12.0,0.4,136.0,47.0
88,35.0,41.0,8.0,14.0,0.4,131.0,51.0
89,43.0,49.0,11.0,19.0,0.6,121.0,59.0
90,54.0,62.0,15.0,25.0,0.8,110.0,73.0
91,66.0,76.0,17.0,28.0,1.0,100.0,89.0
92,76.0,87.0,19.0,30.0,1.0,90.0,102.0
93,83.0,93.0,20.0,32.0,1.1,81.0,110.0
94,88.0,97.0,22.0,35.0,1.2,74.0,116.0
95,90.0,97.0,23.0,37.0,1.2,71.0,118.0
96,88.0,93.0,24.0,39.0,1.3,68.0,116.0
97,83.0,88.0,24.0,40.0,1.3,66.0,110.0
98,79.0,83.0,24.0,40.0,1.4,64.0,105.0
99,75.0,78.0,26.0,38.0,1.5,66.0,100.0
100,70.0,73.0,28.0,34.0,1.7,71.0,94.0
101,67.0,69.0,29.0,32.0,1.9,77.0,89.0
102,65.0,68.0,32.0,32.0,2.1,83.0,88.0
103,67.0,70.0,35.0,34.0,2.4,92.0,90.0
104,74.0,80.0,34.0,35.0,2.3,101.0,99.0
105,65.0,71.0,21.0,22.0,1.1,90.0,88.0
106,52.0,57.0,14.0,13.0,0.7,108.0,71.0
107,45.0,50.0,12.0,11.0,0.6,119.0,63.0
108,43.0,48.0,11.0,9.0,0.5,125.0,60.0
109,43.0,47.0,9.0,8.0,0.5,131.0,59.0
110,42.0,46.0,9.0,7.0,0.5,135.0,58.0
111,42.0,47.0,8.0,8.0,0.5,137.0,59.0
112,45.0,50.0,9.0,10.0,0.5,135.0,62.0
113,50.0,57.0,10.0,13.0,0.6,129.0,69.0
114,61.0,70.0,15.0,23.0,0.9,117.0,83.0
115,73.0,83.0,17.0,29.0,1.1,107.0,98.0
116,83.0,94.0,20.0,32.0,1.2,97.0,110.0
117,89.0,99.0,22.0,36.0,1.3,87.0,118.0
118,94.0,103.0,24.0,39.0,1.3,79.0,124.0
119,97.0,104.0,27.0,43.0,1.4,72.0,127.0
120,97.0,104.0,29.0,46.0,1.5,67.0,128.0
121,97.0,102.0,30.0,48.0,1.6,64.0,127.0
122,95.0,100.0,32.0,50.0,1.8,61.0,125.0
123,93.0,97.0,33.0,52.0,1.9,58.0,122.0
