,PM2_5,PM10,SO2,NO2,CO,O3,AQI
0,98.0,105.0,41.0,28.0,0.9,98.0,129.0
1,98.0,105.0,42.0,29.0,0.9,96.0,128.0
2,94.0,101.0,37.0,26.0,0.9,96.0,123.0
3,97.0,104.0,38.0,27.0,1.0,93.0,127.0
4,100.0,108.0,42.0,30.0,1.1,90.0,132.0
5,101.0,108.0,44.0,32.0,1.2,87.0,133.0
6,103.0,110.0,48.0,36.0,1.4,81.0,135.0
7,103.0,110.0,53.0,41.0,1.6,76.0,135.0
8,110.0,120.0,60.0,46.0,1.8,66.0,144.0
9,109.0,121.0,61.0,37.0,1.3,78.0,142.0
10,101.0,113.0,60.0,34.0,1.1,86.0,133.0
11,86.0,96.0,52.0,27.0,0.9,104.0,113.0
12,81.0,90.0,43.0,22.0,0.8,115.0,108.0
13,78.0,85.0,36.0,17.0,0.7,125.0,104.0
14,68.0,74.0,24.0,12.0,0.6,138.0,91.0
15,68.0,74.0,23.0,11.0,0.6,139.0,91.0
16,69.0,76.0,23.0,12.0,0.6,138.0,93.0
17,68.0,75.0,21.0,14.0,0.6,135.0,91.0
18,77.0,85.0,25.0,20.0,0.7,125.0,102.0
19,82.0,91.0,27.0,23.0,0.7,113.0,109.0
20,108.0,118.0,50.0,39.0,1.0,85.0,142.0
21,108.0,119.0,50.0,40.0,1.1,76.0,142.0
22,115.0,127.0,51.0,43.0,1.1,73.0,151.0
23,123.0,133.0,45.0,40.0,1.2,77.0,161.0
24,118.0,126.0,43.0,32.0,1.1,88.0,154.0
25,115.0,123.0,43.0,33.0,1.1,80.0,150.0
26,109.0,116.0,44.0,34.0,1.1,64.0,142.0
27,109.0,116.0,49.0,35.0,1.1,58.0,142.0
28,102.0,108.0,52.0,37.0,1.0,53.0,134.0
29,50.0,53.0,34.0,30.0,0.6,50.0,68.0
30,28.0,31.0,26.0,27.0,0.6,52.0,39.0
31,21.0,24.0,24.0,25.0,0.5,55.0,30.0
32,19.0,23.0,20.0,20.0,0.5,63.0,27.0
33,18.0,22.0,20.0,17.0,0.4,67.0,26.0
34,18.0,22.0,20.0,16.0,0.3,70.0,26.0
35,17.0,21.0,18.0,12.0,0.3,80.0,25.0
36,17.0,20.0,17.0,12.0,0.3,82.0,26.0
37,16.0,20.0,15.0,11.0,0.3,85.0,26.0
38,16.0,20.0,15.0,11.0,0.3,89.0,28.0
