,PM2_5,PM10,SO2,NO2,CO,O3,AQI
0,92.0,99.0,36.0,21.0,0.7,110.0,122.0
1,92.0,99.0,36.0,22.0,0.7,109.0,121.0
2,92.0,98.0,33.0,19.0,0.7,108.0,121.0
3,95.0,101.0,36.0,22.0,0.8,105.0,125.0
4,98.0,104.0,41.0,25.0,0.8,102.0,129.0
5,96.0,102.0,44.0,27.0,0.9,100.0,126.0
6,97.0,103.0,49.0,32.0,1.1,94.0,127.0
7,97.0,103.0,54.0,38.0,1.3,87.0,127.0
8,96.0,104.0,55.0,42.0,1.5,80.0,127.0
9,92.0,101.0,49.0,33.0,1.2,88.0,121.0
10,90.0,98.0,49.0,29.0,1.0,95.0,118.0
11,82.0,91.0,46.0,24.0,0.8,109.0,109.0
12,81.0,89.0,41.0,20.0,0.8,118.0,107.0
13,81.0,87.0,35.0,16.0,0.7,126.0,107.0
14,69.0,75.0,24.0,10.0,0.6,141.0,93.0
15,73.0,79.0,23.0,10.0,0.6,141.0,97.0
16,78.0,85.0,24.0,11.0,0.6,141.0,104.0
17,78.0,85.0,21.0,12.0,0.6,139.0,104.0
18,82.0,89.0,23.0,15.0,0.6,130.0,109.0
19,83.0,90.0,22.0,18.0,0.6,119.0,110.0
20,110.0,119.0,46.0,35.0,0.9,87.0,144.0
21,109.0,120.0,47.0,38.0,1.0,78.0,143.0
22,116.0,126.0,48.0,38.0,1.0,82.0,151.0
23,121.0,130.0,42.0,29.0,1.1,96.0,158.0
24,116.0,124.0,40.0,22.0,1.0,103.0,152.0
25,112.0,120.0,40.0,23.0,1.0,94.0,147.0
26,101.0,108.0,42.0,28.0,0.9,72.0,133.0
27,103.0,109.0,47.0,26.0,0.9,69.0,135.0
28,86.0,91.0,44.0,27.0,0.8,66.0,114.0
29,29.0,32.0,26.0,25.0,0.4,59.0,42.0
30,20.0,22.0,23.0,24.0,0.4,59.0,28.0
31,18.0,20.0,23.0,23.0,0.4,61.0,25.0
32,15.0,18.0,18.0,16.0,0.3,68.0,21.0
33,15.0,18.0,17.0,14.0,0.3,72.0,22.0
34,15.0,18.0,17.0,14.0,0.3,74.0,23.0
35,16.0,19.0,16.0,11.0,0.3,82.0,26.0
36,16.0,19.0,16.0,11.0,0.3,85.0,26.0
